id,Season,city,date,team1,team2,toss_winner,toss_decision,result,dl_applied,winner,win_by_runs,win_by_wickets,player_of_match,venue,umpire1,umpire2,win_by_runs_capped,win_by_wickets_capped,toss_match_win,win_margin_cat,match_year,match_month,is_big_win,win_by_runs_norm,win_by_wickets_norm,win_by_runs_std,win_by_wickets_std
519,IPL-2015,Chennai,2015-09-04,Chennai Super Kings,Delhi Daredevils,Delhi Daredevils,field,normal,0,Chennai Super Kings,1,0,A Nehra,"MA Chidambaram Stadium, Chepauk",RK Illingworth,VA Kulkarni,1.0,0,0,Small,2015.0,9.0,0,0.00684931506849315,0.0,-0.5257385231361246,-0.9948286507525228
520,IPL-2015,Pune,2015-10-04,Rajasthan Royals,Kings XI Punjab,Kings XI Punjab,field,normal,0,Rajasthan Royals,26,0,JP Faulkner,Maharashtra Cricket Association Stadium,SD Fry,CB Gaffaney,26.0,0,0,Medium,2015.0,10.0,0,0.1780821917808219,0.0,0.538188735739994,-0.9948286507525228
521,IPL-2015,Chennai,2015-11-04,Chennai Super Kings,Sunrisers Hyderabad,Chennai Super Kings,bat,normal,0,Chennai Super Kings,45,0,BB McCullum,"MA Chidambaram Stadium, Chepauk",RK Illingworth,VA Kulkarni,45.0,0,1,Medium,2015.0,11.0,0,0.3082191780821918,0.0,1.3467734524858441,-0.9948286507525228
522,IPL-2015,Kolkata,2015-11-04,Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,field,normal,0,Royal Challengers Bangalore,0,3,CH Gayle,Eden Gardens,S Ravi,C Shamshuddin,0.0,3,1,Small,2015.0,11.0,0,0.0,0.30000000000000004,-0.5682956134911693,-0.10879097365118393
523,IPL-2015,Delhi,2015-12-04,Delhi Daredevils,Rajasthan Royals,Rajasthan Royals,field,normal,0,Rajasthan Royals,0,3,DJ Hooda,Feroz Shah Kotla,SD Fry,CB Gaffaney,0.0,3,1,Small,2015.0,12.0,0,0.0,0.30000000000000004,-0.5682956134911693,-0.10879097365118393
524,IPL-2015,Mumbai,2015-12-04,Kings XI Punjab,Mumbai Indians,Mumbai Indians,field,normal,0,Kings XI Punjab,18,0,GJ Bailey,Wankhede Stadium,AK Chaudhary,K Srinivasan,18.0,0,0,Small,2015.0,12.0,0,0.1232876712328767,0.0,0.19773201289963607,-0.9948286507525228
525,IPL-2015,Bangalore,,Royal Challengers Bangalore,Sunrisers Hyderabad,Sunrisers Hyderabad,field,normal,0,Sunrisers Hyderabad,0,8,DA Warner,M Chinnaswamy Stadium,RM Deshpande,RK Illingworth,0.0,8,1,Large,,,0,0.0,0.8,-0.5682956134911693,1.3679384881843808
526,IPL-2015,Ahmedabad,,Mumbai Indians,Rajasthan Royals,Mumbai Indians,bat,normal,0,Rajasthan Royals,0,7,SPD Smith,"Sardar Patel Stadium, Motera",AK Chaudhary,SD Fry,0.0,7,0,Large,,,0,0.0,0.7000000000000001,-0.5682956134911693,1.072592595817268
527,IPL-2015,Kolkata,,Chennai Super Kings,Kolkata Knight Riders,Kolkata Knight Riders,field,normal,0,Kolkata Knight Riders,0,7,AD Russell,Eden Gardens,AK Chaudhary,M Erasmus,0.0,7,1,Large,,,0,0.0,0.7000000000000001,-0.5682956134911693,1.072592595817268
528,IPL-2015,Pune,,Kings XI Punjab,Delhi Daredevils,Kings XI Punjab,bat,normal,0,Delhi Daredevils,0,5,MA Agarwal,Maharashtra Cricket Association Stadium,CB Gaffaney,K Srinath,0.0,5,0,Medium,,,0,0.0,0.5,-0.5682956134911693,0.481900811083042
529,IPL-2015,Visakhapatnam,,Sunrisers Hyderabad,Rajasthan Royals,Rajasthan Royals,field,normal,0,Rajasthan Royals,0,6,AM Rahane,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,PG Pathak,S Ravi,0.0,6,1,Medium,,,0,0.0,0.6000000000000001,-0.5682956134911693,0.7772467034501549
530,IPL-2015,Mumbai,,Mumbai Indians,Chennai Super Kings,Mumbai Indians,bat,normal,0,Chennai Super Kings,0,6,A Nehra,Wankhede Stadium,AK Chaudhary,M Erasmus,0.0,6,0,Medium,,,0,0.0,0.6000000000000001,-0.5682956134911693,0.7772467034501549
531,IPL-2015,Visakhapatnam,,Delhi Daredevils,Sunrisers Hyderabad,Delhi Daredevils,bat,normal,0,Delhi Daredevils,4,0,JP Duminy,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,PG Pathak,S Ravi,4.0,0,1,Small,,,0,0.0273972602739726,0.0,-0.39806725207099036,-0.9948286507525228
532,IPL-2015,Pune,,Kings XI Punjab,Kolkata Knight Riders,Kolkata Knight Riders,field,normal,0,Kolkata Knight Riders,0,4,AD Russell,Maharashtra Cricket Association Stadium,SD Fry,CK Nandan,0.0,4,1,Medium,,,0,0.0,0.4,-0.5682956134911693,0.18655491871592902
533,IPL-2015,Ahmedabad,,Chennai Super Kings,Rajasthan Royals,Chennai Super Kings,bat,normal,0,Rajasthan Royals,0,8,AM Rahane,"Sardar Patel Stadium, Motera",AK Chaudhary,M Erasmus,0.0,8,0,Large,,,0,0.0,0.8,-0.5682956134911693,1.3679384881843808
534,IPL-2015,Bangalore,,Mumbai Indians,Royal Challengers Bangalore,Royal Challengers Bangalore,field,normal,0,Mumbai Indians,18,0,Harbhajan Singh,M Chinnaswamy Stadium,RK Illingworth,VA Kulkarni,18.0,0,0,Small,,,0,0.1232876712328767,0.0,0.19773201289963607,-0.9948286507525228
535,IPL-2015,Delhi,,Delhi Daredevils,Kolkata Knight Riders,Kolkata Knight Riders,field,normal,0,Kolkata Knight Riders,0,6,UT Yadav,Feroz Shah Kotla,SD Fry,CB Gaffaney,0.0,6,1,Medium,,,0,0.0,0.6000000000000001,-0.5682956134911693,0.7772467034501549
536,IPL-2015,Ahmedabad,,Rajasthan Royals,Kings XI Punjab,Kings XI Punjab,field,tie,0,Kings XI Punjab,0,0,SE Marsh,"Sardar Patel Stadium, Motera",M Erasmus,S Ravi,0.0,0,1,Tie or No Result,,,0,0.0,0.0,-0.5682956134911693,-0.9948286507525228
537,IPL-2015,Visakhapatnam,,Sunrisers Hyderabad,Kolkata Knight Riders,Kolkata Knight Riders,field,normal,1,Sunrisers Hyderabad,16,0,DA Warner,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,RK Illingworth,VA Kulkarni,16.0,0,0,Small,,,0,0.1095890410958904,0.0,0.11261783218954659,-0.9948286507525228
538,IPL-2015,Bangalore,,Chennai Super Kings,Royal Challengers Bangalore,Royal Challengers Bangalore,field,normal,0,Chennai Super Kings,27,0,SK Raina,M Chinnaswamy Stadium,JD Cloete,C Shamshuddin,27.0,0,0,Medium,,,0,0.18493150684931506,0.0,0.5807458260950388,-0.9948286507525228
539,IPL-2015,Delhi,,Delhi Daredevils,Mumbai Indians,Mumbai Indians,field,normal,0,Delhi Daredevils,37,0,SS Iyer,Feroz Shah Kotla,SD Fry,CK Nandan,37.0,0,0,Medium,,,0,0.2534246575342466,0.0,1.0063167296454862,-0.9948286507525228
540,IPL-2015,Ahmedabad,,Rajasthan Royals,Royal Challengers Bangalore,Royal Challengers Bangalore,field,normal,0,Royal Challengers Bangalore,0,9,MA Starc,"Sardar Patel Stadium, Motera",M Erasmus,S Ravi,0.0,9,1,Large,,,0,0.0,0.9,-0.5682956134911693,1.6632843805514939
541,IPL-2015,Mumbai,,Mumbai Indians,Sunrisers Hyderabad,Mumbai Indians,bat,normal,0,Mumbai Indians,20,0,SL Malinga,Wankhede Stadium,HDPK Dharmasena,CB Gaffaney,20.0,0,1,Medium,,,0,0.136986301369863,0.0,0.28284619360972557,-0.9948286507525228
542,IPL-2015,Chennai,,Chennai Super Kings,Kings XI Punjab,Chennai Super Kings,bat,normal,0,Chennai Super Kings,97,0,BB McCullum,"MA Chidambaram Stadium, Chepauk",JD Cloete,C Shamshuddin,47.5,0,1,Large,,,1,0.6643835616438356,0.0,3.559742150948171,-0.9948286507525228
543,IPL-2015,Delhi,,Delhi Daredevils,Royal Challengers Bangalore,Royal Challengers Bangalore,field,normal,0,Royal Challengers Bangalore,0,10,VR Aaron,Feroz Shah Kotla,M Erasmus,S Ravi,0.0,10,1,Large,,,0,0.0,1.0,-0.5682956134911693,1.9586302729186067
544,IPL-2015,Chandigarh,,Sunrisers Hyderabad,Kings XI Punjab,Kings XI Punjab,field,normal,0,Sunrisers Hyderabad,20,0,TA Boult,"Punjab Cricket Association Stadium, Mohali",HDPK Dharmasena,CB Gaffaney,20.0,0,0,Medium,,,0,0.136986301369863,0.0,0.28284619360972557,-0.9948286507525228
545,IPL-2015,Kolkata,2015-07-05,Kolkata Knight Riders,Delhi Daredevils,Kolkata Knight Riders,bat,normal,0,Kolkata Knight Riders,13,0,PP Chawla,Eden Gardens,AK Chaudhary,M Erasmus,13.0,0,1,Small,2015.0,7.0,0,0.08904109589041095,0.0,-0.015053438875587648,-0.9948286507525228
547,IPL-2015,Chennai,,Chennai Super Kings,Kolkata Knight Riders,Kolkata Knight Riders,field,normal,0,Chennai Super Kings,2,0,DJ Bravo,"MA Chidambaram Stadium, Chepauk",RM Deshpande,VA Kulkarni,2.0,0,0,Small,,,0,0.0136986301369863,0.0,-0.48318143278107983,-0.9948286507525228
548,IPL-2015,Delhi,2015-01-05,Kings XI Punjab,Delhi Daredevils,Delhi Daredevils,field,normal,0,Delhi Daredevils,0,9,NM Coulter-Nile,Feroz Shah Kotla,RK Illingworth,S Ravi,0.0,9,1,Large,2015.0,1.0,0,0.0,0.9,-0.5682956134911693,1.6632843805514939
549,IPL-2015,Mumbai,2015-01-05,Mumbai Indians,Rajasthan Royals,Rajasthan Royals,field,normal,0,Mumbai Indians,8,0,AT Rayudu,Wankhede Stadium,HDPK Dharmasena,CK Nandan,8.0,0,0,Small,2015.0,1.0,0,0.0547945205479452,0.0,-0.22783889065081137,-0.9948286507525228
550,IPL-2015,Bangalore,2015-02-05,Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,field,normal,0,Royal Challengers Bangalore,0,7,Mandeep Singh,M Chinnaswamy Stadium,JD Cloete,PG Pathak,0.0,7,1,Large,2015.0,2.0,0,0.0,0.7000000000000001,-0.5682956134911693,1.072592595817268
